"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Botswana","BWA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.573263233642","6.93341739659093","3.24119135682305","1.61932334547681","1.03971506510393","1.22909037251667","3.94438912495522","1.03909389725356","1.93460301662641","2.09940639071968","1.69195490245641","0.510412948023946","0.22482197279802","0.529460374571276","1.49706220499281","0.322903686507462","0.918304425948001","1.99737195101514","0.53733904085985","0.168269813115748","1.12822946866101","",
"Central African Republic","CAF","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","441.964267319631","433.936339876024","434.425028714176","438.873952156365","446.471272004754","444.805837984538","440.10466055135","432.304971600789","422.806086440484","409.576858108692","395.601770325057","385.812011345575","377.724922240072","371.190291246857","362.654790777504","346.442857394032","334.120298839738","328.699399459054","324.667220272696","322.87275148103","335.994470951376","",
"Canada","CAN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0147878304281972","0.0388747800445651","0.0464209816929127","0.0515123128955265","0.0488839544439937","0.0392001022562259","0.0628695173293953","0.0517744737070595","0.0292524304737632","0.0162251086423194","0.00866917724534023","0.00225969375711123","0.000419182192172922","0.000141802879693928","9.00578852494898E-05","6.59196835184501E-05","1.68160673353004E-06","0","0","0","0","",
"Cote d'Ivoire","CIV","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","510.669621857881","521.945701505136","523.07811855923","521.565388966223","515.900259386317","486.077947151199","475.741770930008","471.286170698311","477.930810267777","485.252887373526","481.861685299487","466.612030100646","382.510376760067","294.249563531528","265.473245991906","247.735569410821","251.312213388174","259.983979523253","272.335970803407","281.187090618751","287.04685958426","",
"Cameroon","CMR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","403.73150760374","407.1032481193","401.988066101364","416.466195885463","433.275536547728","431.844854638206","419.129026485709","399.788086490738","363.447799510863","315.464103395658","290.870328627031","268.442876226563","258.028583028547","262.103382207063","261.899589949728","261.298512823383","257.611994107466","250.568853707573","247.334765451547","244.103089044077","259.958161467263","",
"Congo, Dem. Rep.","COD","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","469.523731159233","469.83412837423","470.338007156208","474.509302607045","481.241601007958","481.689065313851","473.914069071951","464.05512877889","444.963445019809","413.96724287091","389.912721133407","365.719042457755","345.523943032318","326.492089189163","307.504659778931","295.763539264582","297.480538689442","308.210408471007","320.878874192655","320.674687630789","324.207426413611","",
"Congo, Rep.","COG","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","355.36096846602","351.27550941133","319.893268921718","314.456333662566","308.728351889264","287.134033993279","263.654819054973","241.40668394682","219.018034958109","206.185651565591","201.133293617905","198.481993209312","195.691673778329","193.949195252963","186.500005805405","184.014185889768","190.024043384094","205.838690230557","217.632341620898","215.917133413524","213.177127166419","",
"Colombia","COL","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.0172935455347","37.3669277824517","32.2045874011011","27.6808380557081","21.1980532882028","17.676645717227","17.2954546238716","17.8860022057107","11.2237587762484","11.1590391447041","16.4369173218984","8.91557240784159","8.25198028018265","7.02822598351059","5.48403715689064","8.06427466725041","10.834023879295","7.4770851899909","8.53402454199437","10.7460540031364","9.40926471028173","",
"Comoros","COM","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.1027550068405","63.5641622968366","62.0689049659338","60.6073595753181","59.1765316544715","57.7739628040057","56.4024219901122","55.0602845280102","53.7485526309783","52.4648310956835","52.9769637637452","35.1779987488996","68.8526175460894","71.6860572533651","2.90101265489406","1.67216551866072","1.43665700096908","3.96859526471636","18.2453425477159","20.6830252053436","5.22772095055744","",
"Cabo Verde","CPV","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2934983741444","0.944545470595505","0.659905529313698","0.581295948025303","0.379043126684636","0.564840349536499","0.655823714585519","0.145728928001814","0.279957446468137","0.513699983403539","0.366938096762357","0.0539694532894382","0.00761255157503692","0.165348886149776","0.19294847533599","0.0513076111176264","0.347584289190129","3.02685529055664","0.0141464725770629","0","0","",
"Costa Rica","CRI","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.35488946366135","0.965348726030065","0.711338640388707","0.492652073735881","0.871650333648002","2.36078313196784","1.90874201211522","0.79332182595051","0.618401081113608","0.165586143347039","0.0686607838939278","0.00616682494850701","0.00365675057487166","0","0","0","0.00233267843386303","0.00692647089381489","0.0400044576395656","0.053774213962503","0.0504784515903236","",
"Caribbean small states","CSS","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czech Republic","CZE","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.40441347270616","3.40546293011706","3.40444523788271","3.4054923218436","3.40455242233041","3.40499137685934","3.40521371953727","3.40547690748924","3.40408849976723","4.32668919680798","1.60297868355772","3.40527098459193","3.40536256282333","2.54226669343796","14.005323773885","13.8206222416749","19.8374483145632","20.7217806804812","34.5494114293263","67.6657229461066","97.6243113310173","",
"Dominica","DMA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.326606188801522","0.277644058206018","0.350611437215583","0.406774988199833","0.61618719305695","0.987836046356851","0.893097508326879","0.676123846915297","0.453960967802554","0.400943534828154","0.59959582522512","0.386286317712726","0.225222466599161","0.110754516498719","0.101086140215049","0.137374473633283","0.148587061017774","0.0725284505798909","0.0912252109583003","0.269135682252192","0.17053702594807","",
"Algeria","DZA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0186462698411393","0.00324770049273029","0.00534425271047137","0.00263824955308053","0.00104148386455086","0.000513554236976521","0.000506054435263492","0.0129548717044177","0.00147053417153781","0","0.000473190224836335","0.000464362068677293","0.025046335721084","0.00357086902900483","0","0","0","0","0","0","0","",
"East Asia & Pacific (excluding high income)","EAP","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.14210900710868","5.78094264739419","5.39586921093195","5.42127197638062","5.80122532587628","5.36092721972457","5.29856690333823","4.70232278764244","4.82520180155125","5.23954740628065","5.92791357030617","4.68770084592973","5.29947676595575","3.93018732206871","3.53561127502386","2.51700081479952","2.65097107494923","2.34031891214569","2.22183569715119","1.99826584830928","2.34661124237905","",
"Early-demographic dividend","EAR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.9317721031237","28.9346648759239","26.7339096686045","27.1586961487344","27.8542874764329","26.5608277467364","23.646670042122","22.1210453741475","21.2768646740315","23.6066652460616","24.6660183649749","22.1598125255275","21.2606875248397","19.629283111588","18.697316095885","17.7037933043887","16.7331232284531","15.8776332273176","11.7960768454123","10.1695334014998","9.72828307841361","",
"East Asia & Pacific","EAS","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.12470234499033","5.7631054956458","5.37863937023547","5.40334887475755","5.78171546940215","5.34356197665048","5.28219481540228","4.68827646059959","4.80963759821261","5.22247641615187","5.90893193608973","4.67225919834372","5.28190293140211","3.9172795317118","3.52423888189413","2.50915352257467","2.64269018095974","2.33295955659959","2.21497054605952","1.99216023959785","2.33928965944236","",
"Europe & Central Asia (excluding high income)","ECA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","282.869722645436","289.379352860366","226.519582245431","133.639807798928","72.5142479265418","42.319873710547","24.0743000805487","19.6686997870864","11.5470605872451","9.58362561146133","4.31618822055539","2.7419710674777","1.20643580275662","0.8039937515703","0.520613721828774","1.30816353314226","2.47840499759651","2.60669562995144","3.32035722463934","3.56135485553106","3.76178231456592","",
"Egypt, Arab Rep.","EGY","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Euro area","EMU","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.3422446129908","22.9336414677766","13.229431464548","19.0275020261656","5.54928673300221","9.79250017600321","5.63290703304664","12.5371261521622","6.78043687079263","8.86432985461166","26.327916309329","23.8577285592985","16.1480986454587","15.0265751177908","33.1242201287414","19.1515063039627","25.635869426795","33.9676532584956","28.8797748607868","57.299198168091","44.8025576164404","",
"Spain","ESP","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Estonia","EST","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ethiopia","ETH","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","222.326541087133","231.740760217217","205.862851620573","217.671033764225","222.274530404973","152.039239312909","141.754004456739","121.483729903499","100.637289190364","135.903755388199","155.283393328403","155.215230646875","174.578535738493","191.606484718751","158.777640881304","133.785020470887","92.2826333074958","67.0523729208076","37.608943271139","34.7076516849893","54.1261879000187","",
"European Union","EUU","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","291.196686584315","289.447570563751","279.311499647271","277.582184577635","278.707713420027","270.392220374867","267.364944821648","261.232264594458","254.081352459006","251.574444139271","244.521193199271","234.092318878198","227.814897072429","221.658056920278","211.441073917269","203.800799622855","200.758761546247","201.469325412808","199.737523828268","197.981932563579","208.679553326576","",
"Finland","FIN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
